playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,The Paper Kites,Woodland - EP,https://i.scdn.co/image/624d7e4ee44c84d98db48a442bf2ab86f5c6138a,0.592,0.416,C#,-9.794,major,0.0246,0.882,5.86e-4,0.112,0.417,96.002,210080,4,C# major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,The Stable Song,3G9ETaH55bMQx8hwNhAgbU,Gregory Alan Isakov,"That Sea, The Gambler",https://i.scdn.co/image/8f8376ed4cacfb6b084202ff1acdd787c5982036,0.625,0.432,D,-11.948,major,0.0283,0.633,0.00242,0.127,0.361,137.926,360933,4,D major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Amsterdam - Recorded at Spotify Studios NYC,4muAGMNipTEtIoYfMa9QL0,Mandolin Orange,Spotify Singles,https://i.scdn.co/image/fa0ab59b3f9f05d70461222d65e538061de41e38,0.532,0.317,C,-10.693,major,0.0309,0.909,0.0277,0.11,0.28,140.671,193672,3,C major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Sinking Ship,3pC8tUjIZPORslYYmJbJcz,Wild Child,Sinking Ship / Back & Forth,https://i.scdn.co/image/4e9a017184b68d18945e7457ee4e9c74d99df619,0.37,0.174,E,-19.316,minor,0.0377,0.95,0.0029,0.11,0.181,92.75,247493,4,E minor
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Sweet Return,3LApsNoXrlZHPIhGNdo8P1,Diamond Thug,Sweet Return,https://i.scdn.co/image/b2356a69568d4c860802071e15d0e31cfe37b1c5,0.686,0.346,F,-10.423,major,0.0233,0.905,0.00254,0.108,0.239,102.001,135078,4,F major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,On the Frame (Acoustic),5TjAhRtHiLjCrzuOhgk50U,Beta Radio,On the Frame (Acoustic),https://i.scdn.co/image/8720b1ab8ec3f225fb67536e1d14dc8362b2c016,0.458,0.256,D,-13.301,minor,0.0308,0.961,3.09e-4,0.0951,0.317,140.617,184932,4,D minor
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,El Buho,3E2dyGd4VQaY6uWHyQ9ok7,Blanco White,El Buho,https://i.scdn.co/image/3d1d7e6c7c9c8db8eabf71bf1d094987b7ad7d05,0.553,0.391,D#,-12.303,minor,0.0315,0.933,0.00123,0.0993,0.242,105.989,231707,4,D# minor
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Hold Your Head Up High,7oOsCpcgcLXKkkIPQzQ6cX,Darlingside,Hold Your Head Up High,https://i.scdn.co/image/0381693d790ba8babc36d060364c5f020f38f9e1,0.375,0.261,A,-11.312,major,0.0288,0.539,0.0178,0.116,0.139,132.094,217360,4,A major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Blind in the Fray,4sWnVeKwH6Aftzk5HZi4d1,The Last Revel,Blind in the Fray,https://i.scdn.co/image/a1c425403089782578bb260312b2a42d359fc19b,0.488,0.551,C,-9.399,major,0.0298,0.242,5.82e-4,0.219,0.443,87.846,212354,4,C major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Top to Toe,1I6hI9D2b1UXZUGoP8ixM0,Fenne Lily,Top to Toe,https://i.scdn.co/image/e09c873751d1027fc42b5075fbfd579d4d3d1265,0.569,0.184,C#,-12.842,major,0.0584,0.908,0,0.114,0.309,110.916,216416,4,C# major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Fever To The Form,7xbF5Nf1iKYmwvD9EWhJav,Nick Mulvey,Fever To The Form,https://i.scdn.co/image/106f247732cdce1f35fddf45dd3735a1cc66581d,0.343,0.539,C,-9.72,minor,0.0297,0.789,0.157,0.108,0.228,142.065,251184,4,C minor
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Echo - Recorded at Spotify Studios NYC,2d7lM2tUbVZbfOvmJFn4pw,Mandolin Orange,Spotify Singles,https://i.scdn.co/image/fa0ab59b3f9f05d70461222d65e538061de41e38,0.512,0.368,G,-12.328,major,0.0425,0.958,0.0157,0.0613,0.612,181.676,211689,4,G major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,The Woods - Acoustic,6uaIMhUZXMuT2Zz0vxrFiR,Hollow Coves,The Woods (Acoustic),https://i.scdn.co/image/4f28f6ce3c010841889edb6a9b8ca06b928bc51e,0.571,0.558,A,-8.553,major,0.0281,0.722,3.31e-4,0.116,0.283,104.991,239960,4,A major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,All The Pretty Girls - Recorded at Spotify Studios NYC,2Sqv9Ne6ibOZsKxY7o0t6t,Kaleo,Spotify Singles,https://i.scdn.co/image/346e9a89d1f89a5ce9954d744ee4965d69536301,0.471,0.273,C#,-10.072,major,0.0324,0.845,0,0.12,0.188,138.683,307173,4,C# major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Turntable,0Dp07EA5ybveKSUE27CuEd,Dead Horses,My Mother the Moon,https://i.scdn.co/image/efbd75b79bf50c48c20c46b689b41c75e5f13d2d,0.603,0.575,C,-10.325,major,0.0285,0.811,0.00183,0.12,0.673,95.116,196173,1,C major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Dirty Old Town,567EmmCbOtpEuaVC2zznU6,Craig Cardiff,Goodnight (Go Home) - CC010,https://i.scdn.co/image/5652ebc8c4b30c6b94f72f39874d39e47df14d2e,0.555,0.418,C,-12.7,major,0.0455,0.309,0.00119,0.237,0.328,159.764,246453,4,C major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Like Gold,6Od2OWvoT4embWAgIGeFRd,Vance Joy,Nation Of Two,https://i.scdn.co/image/8f56e37706134336c286fbdaf0e4754164024644,0.477,0.712,G,-6.759,major,0.0653,0.224,8.36e-6,0.118,0.407,109.965,224400,4,G major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Sail on the Water,7gYiZXvvD8H6f0lEvLUQHD,Molly Parden,Sail on the Water,https://i.scdn.co/image/ec48de8094c2f7ff7bc1eacdda1b0bd3afb53807,0.602,0.506,D,-9.046,major,0.0273,0.687,0.0263,0.177,0.312,126.962,261141,4,D major
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks,84,N4dwwdyTr8c740nvBhrNDGGkWrr3PnIeoHbPitvOAvY9Ghp/iQsgJR6DIQYRFAy8Lls5NACknEg=,https://i.scdn.co/image/bc6568c96a4a6d3d1a5474ced7e708797b3fcb6c,Like Real People Do,7K6LFPfjdnN6QqvGzhvpRO,Hozier,Hozier,https://i.scdn.co/image/54ae81bff27a1979815d40846c763431d872b680,0.539,0.179,G,-14.33,major,0.0309,0.921,0.393,0.106,0.145,140.01,198027,3,G major
