album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,Back To You - EP Version,2LfhnQyrBpRU0HgKIrC9VE,0.602,0.637,F#,-10.878,minor,0.0316,0.0746,0.133,0.121,0.532,99.374,237493,4,F# minor,41,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,No Such Thing - Demo Version,2hv6VI0I0BZDY15qsPOrjW,0.642,0.411,A,-9.484,major,0.0283,0.785,0.00384,0.103,0.494,129.146,229467,4,A major,46,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,My Stupid Mouth - Demo Version,2Aw2LtgxU2vLoZRL6yktvc,0.414,0.322,D,-9.51,major,0.0333,0.794,6.58e-5,0.137,0.427,175.131,254960,4,D major,41,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,Neon - EP Version,25ueyWzih8QBtf7EzHc3aW,0.592,0.379,A#,-12.347,minor,0.0503,0.833,2.25e-4,0.369,0.814,109.082,232760,4,A# minor,44,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,Victoria - EP Version,3EaMrRGeNLb0llMv2wylUr,0.682,0.264,G,-11.915,major,0.0378,0.865,0.0019,0.102,0.219,72.891,227040,4,G major,47,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,Love Soon - EP Version,34DLX2len1rusux53yqlRu,0.701,0.356,C,-10.237,major,0.031,0.836,3.23e-4,0.0944,0.564,97.304,217533,4,C major,40,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,Comfortable - EP Version,26PnyFUmYdeRG7nQrsTpHc,0.328,0.129,F,-13.523,major,0.0286,0.806,3.61e-6,0.105,0.114,84.73,299333,4,F major,50,John Mayer
5KMP6XLSrhsswEuN2A9VO2,Inside Wants Out,https://i.scdn.co/image/4fefd25928cc89dfdf44ddfd5451f76d67158788,1999,1999-01-01,47,Quiet - EP Version,2Sdkwd9ptjUCcYR9uPECmx,0.557,0.0695,F#,-14.11,major,0.0383,0.775,8.92e-5,0.104,0.126,103.23,200533,3,F# major,47,John Mayer
3yHOaiXecTJVUdn7mApZ48,Room For Squares,https://i.scdn.co/image/c8a60bd180d5efe02e44cb44634802fbc95f8e49,2001-08-16,2001-08-16,67,No Such Thing,6Vecwo7AHst9V2CE3kmwr0,0.668,0.739,E,-4.919,major,0.0308,0.0383,0,0.13,0.571,131.918,231467,4,E major,62,John Mayer
3yHOaiXecTJVUdn7mApZ48,Room For Squares,https://i.scdn.co/image/c8a60bd180d5efe02e44cb44634802fbc95f8e49,2001-08-16,2001-08-16,67,Why Georgia,1c7UYTut2SBOPq64o2t0uN,0.608,0.639,G,-7.205,major,0.0246,0.0208,5.94e-5,0.0893,0.369,96.915,268973,4,G major,63,John Mayer
3yHOaiXecTJVUdn7mApZ48,Room For Squares,https://i.scdn.co/image/c8a60bd180d5efe02e44cb44634802fbc95f8e49,2001-08-16,2001-08-16,67,My Stupid Mouth,3jFP1e8IUpD9QbltEI1Hcg,0.608,0.603,D,-6.792,major,0.0271,0.0143,1.22e-5,0.0833,0.49,88.824,223960,4,D major,59,John Mayer
3yHOaiXecTJVUdn7mApZ48,Room For Squares,https://i.scdn.co/image/c8a60bd180d5efe02e44cb44634802fbc95f8e49,2001-08-16,2001-08-16,67,Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,0.647,0.729,F,-6.251,major,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627,4,F major,75,John Mayer
3yHOaiXecTJVUdn7mApZ48,Room For Squares,https://i.scdn.co/image/c8a60bd180d5efe02e44cb44634802fbc95f8e49,2001-08-16,2001-08-16,67,Neon,7Kohy4v3KLWfUXlv9N3feB,0.699,0.77,F,-7.658,minor,0.036,0.0181,1.38e-4,0.0644,0.589,101.984,262107,4,F minor,60,John Mayer
3yHOaiXecTJVUdn7mApZ48,Room For Squares,https://i.scdn.co/image/c8a60bd180d5efe02e44cb44634802fbc95f8e49,2001-08-16,2001-08-16,67,City Love,5O3fUsQQBFxW8SH1kHthDH,0.651,0.548,F,-6.036,major,0.0304,0.00576,5.58e-5,0.145,0.411,67.604,240200,4,F major,49,John Mayer
